alternative_id,borda_rank,mean_score_score,mean_score_rank,mean_rank_score,mean_rank_rank,weighted_rank_sum_score,weighted_rank_sum_rank,copeland_score_proxy,copeland_rank_proxy,csa_score,csa_rank
A57,63,0.5566598875625927,66,-65.33333333333333,63,-65.33333333333333,63,-65.33333333333333,63,0.6037171745001351,62
A19,71,0.5480669092500623,71,-69.33333333333333,71,-69.33333333333333,71,-69.33333333333333,71,0.5934085615885365,63
A124,58,0.5723591541751359,58,-60.666666666666664,58,-60.666666666666664,58,-60.666666666666664,58,0.5916770142552711,64
A70,62,0.5628394375630567,62,-63.666666666666664,62,-63.666666666666664,62,-63.666666666666664,62,0.5865844138616125,65
A146,60,0.5706761498727161,60,-62.333333333333336,60,-62.333333333333336,60,-62.333333333333336,60,0.5851181021298605,66
A25,66,0.5514937966301383,69,-66.0,66,-66.0,66,-66.0,66,0.5850083334942212,67
A44,63,0.5587915414719183,65,-65.33333333333333,63,-65.33333333333333,63,-65.33333333333333,63,0.5832546972172286,68
A46,57,0.5902040380365253,54,-59.666666666666664,57,-59.666666666666664,57,-59.666666666666664,57,0.5806232255219996,69
A27,73,0.5387207381147593,73,-72.0,73,-72.0,73,-72.0,73,0.5799588669019773,70
A95,72,0.5445713045091637,72,-71.0,72,-71.0,72,-71.0,72,0.5788809981767484,71
A18,67,0.5543724753113931,68,-67.0,67,-67.0,67,-67.0,67,0.5748856228156831,72
A151,77,0.5190506448481372,80,-78.66666666666667,77,-78.66666666666667,77,-78.66666666666667,77,0.5732008253663544,73
A17,81,0.5132336241005221,82,-81.66666666666667,81,-81.66666666666667,81,-81.66666666666667,81,0.5668762439269494,74
A3,84,0.4888021534789157,94,-84.33333333333333,84,-84.33333333333333,84,-84.33333333333333,84,0.564347095222455,75
A68,69,0.5597759627466404,63,-68.66666666666667,69,-68.66666666666667,69,-68.66666666666667,69,0.5641851122753446,76
A65,79,0.5188873503904804,81,-81.0,79,-81.0,79,-81.0,79,0.5616653692942325,77
A49,79,0.5192311301822864,79,-81.0,79,-81.0,79,-81.0,79,0.561340353922333,78
A149,83,0.5080171998957672,83,-82.66666666666667,83,-82.66666666666667,83,-82.66666666666667,83,0.5610740864712336,79
A42,86,0.5030744822105468,85,-86.0,86,-86.0,86,-86.0,86,0.555218537947371,80
A101,76,0.5304259319491451,76,-77.0,76,-77.0,76,-77.0,76,0.5533295476739054,81
A4,95,0.4756712091167601,99,-91.0,95,-91.0,95,-91.0,95,0.5531499100598266,82
A110,75,0.5345055703577443,74,-76.33333333333333,75,-76.33333333333333,75,-76.33333333333333,75,0.5529943268677944,83
A37,86,0.5022970333004204,86,-86.0,86,-86.0,86,-86.0,86,0.5527837465588523,84
A77,91,0.49581776742958694,93,-87.66666666666667,91,-87.66666666666667,91,-87.66666666666667,91,0.5443175889816337,85
A113,70,0.5565170358494206,67,-69.0,70,-69.0,70,-69.0,70,0.5441298242910894,86
A69,89,0.4975790598167482,90,-87.0,89,-87.0,89,-87.0,89,0.5440068625317961,87
A58,92,0.49792675685745696,89,-88.0,92,-88.0,92,-88.0,92,0.543028864220931,88
A14,82,0.519346669075925,78,-82.0,82,-82.0,82,-82.0,82,0.5429307085043996,89
A122,98,0.4694355474563025,100,-94.33333333333333,98,-94.33333333333333,98,-94.33333333333333,98,0.5374674582107702,90
A141,85,0.5067928937236111,84,-84.66666666666667,85,-84.66666666666667,85,-84.66666666666667,85,0.5359638081141871,91
A129,74,0.5329464727544367,75,-75.0,74,-75.0,74,-75.0,74,0.5354165051223881,92
A47,78,0.5244841213109276,77,-79.0,78,-79.0,78,-79.0,78,0.5312259155896369,93
A24,101,0.46836737221573976,101,-97.66666666666667,101,-97.66666666666667,101,-97.66666666666667,101,0.5249304172998106,94
A86,88,0.5014926480018355,87,-86.33333333333333,88,-86.33333333333333,88,-86.33333333333333,88,0.5231912772923205,95
A137,96,0.48340210544176915,96,-92.33333333333333,96,-92.33333333333333,96,-92.33333333333333,96,0.5207238580501962,96
A147,92,0.49757213019830715,91,-88.0,92,-88.0,92,-88.0,92,0.5169545293480341,97
A64,89,0.5002211242977443,88,-87.0,89,-87.0,89,-87.0,89,0.5141275057176644,98
A112,102,0.462516902705828,104,-99.33333333333333,102,-99.33333333333333,102,-99.33333333333333,102,0.5135796845374644,99
A127,100,0.4762679464300426,98,-96.33333333333333,100,-96.33333333333333,100,-96.33333333333333,100,0.5121051415219836,100
A50,97,0.48423674088237467,95,-93.33333333333333,97,-93.33333333333333,97,-93.33333333333333,97,0.5116448563530508,101
A54,107,0.4503537322271818,107,-105.33333333333333,107,-105.33333333333333,107,-105.33333333333333,107,0.5034659922009695,102
A121,111,0.41721092176780744,115,-108.66666666666667,111,-108.66666666666667,111,-108.66666666666667,111,0.499741940306257,103
A85,103,0.46268680054875383,103,-100.0,103,-100.0,103,-100.0,103,0.4995514788508121,104
A23,108,0.448641340184905,108,-106.0,108,-106.0,108,-106.0,108,0.496676611889765,105
A142,110,0.42761835847698576,111,-107.66666666666667,110,-107.66666666666667,110,-107.66666666666667,110,0.4950972395971133,106
A10,103,0.46674429475648327,102,-100.0,103,-100.0,103,-100.0,103,0.4950374414772064,107
A52,114,0.424383530622704,113,-110.33333333333333,114,-110.33333333333333,114,-110.33333333333333,114,0.4913665945263119,108
A88,99,0.4784606279840211,97,-94.66666666666667,99,-94.66666666666667,99,-94.66666666666667,99,0.4913433545123608,109
A114,106,0.4515224112532705,106,-102.66666666666667,106,-102.66666666666667,106,-102.66666666666667,106,0.4849381579007877,110
A133,105,0.45819278850644013,105,-101.0,105,-101.0,105,-101.0,105,0.4840080783306864,111
A117,108,0.44189349112253523,109,-106.0,108,-106.0,108,-106.0,108,0.4777928237726909,112
A105,112,0.4323261579496463,110,-109.0,112,-109.0,112,-109.0,112,0.4775208449937165,113
A71,116,0.42387720624135644,114,-113.66666666666667,116,-113.66666666666667,116,-113.66666666666667,116,0.4741477854000529,114
A139,121,0.3919035718064519,120,-117.66666666666667,121,-117.66666666666667,121,-117.66666666666667,121,0.4737144586996034,115
A116,115,0.42760934294037073,112,-111.66666666666667,115,-111.66666666666667,115,-111.66666666666667,115,0.4678298676627461,116
A75,117,0.4133659143668345,116,-114.33333333333333,117,-114.33333333333333,117,-114.33333333333333,117,0.4581973326534935,117
A36,123,0.38039859100375306,123,-120.66666666666667,123,-120.66666666666667,123,-120.66666666666667,123,0.4511190703324104,118
A31,117,0.41155163714350557,117,-114.33333333333333,117,-114.33333333333333,117,-114.33333333333333,117,0.4455460177725688,119
A40,119,0.403537399562693,118,-117.0,119,-117.0,119,-117.0,119,0.4426137524272965,120
A34,122,0.3914909343631316,121,-119.33333333333333,122,-119.33333333333333,122,-119.33333333333333,122,0.4395484835634321,121
A90,126,0.3563255962297703,125,-125.33333333333333,126,-125.33333333333333,126,-125.33333333333333,126,0.4383372757717544,122
A41,130,0.32524364329563515,129,-128.66666666666666,130,-128.66666666666666,130,-128.66666666666666,130,0.4231622954215268,123
A97,128,0.34658334600487767,128,-126.66666666666667,128,-126.66666666666667,128,-126.66666666666667,128,0.4127906399439064,124
A143,124,0.37435328898844383,124,-123.0,124,-123.0,124,-123.0,124,0.4125726350283648,125
A89,119,0.3898276755257248,122,-117.0,119,-117.0,119,-117.0,119,0.4099423638620409,126
A79,127,0.347267876757886,127,-126.0,127,-126.0,127,-126.0,127,0.4081935252550797,127
A73,113,0.39613003281895326,119,-109.66666666666667,113,-109.66666666666667,113,-109.66666666666667,113,0.4005845706708039,128
A9,135,0.2775419440967228,139,-134.0,135,-134.0,135,-134.0,135,0.382157061326287,129
A38,124,0.3547181726788258,126,-123.0,124,-123.0,124,-123.0,124,0.3790725392872296,130
A118,131,0.31580142080945706,131,-131.0,131,-131.0,131,-131.0,131,0.3745179127595805,131
A30,134,0.31071435513548584,132,-132.66666666666666,134,-132.66666666666666,134,-132.66666666666666,134,0.3724202466175562,132
A96,133,0.30840772918460096,134,-132.33333333333334,133,-132.33333333333334,133,-132.33333333333334,133,0.3679852601776431,133
A39,131,0.3179908674831693,130,-131.0,131,-131.0,131,-131.0,131,0.3638018673690376,134
A148,139,0.2695894390919766,140,-136.0,139,-136.0,139,-136.0,139,0.3572255718756075,135
A61,138,0.2816664538991807,138,-135.66666666666666,138,-135.66666666666666,138,-135.66666666666666,138,0.3513129927734673,136
A35,136,0.3013174393879923,135,-134.66666666666666,136,-134.66666666666666,136,-134.66666666666666,136,0.3485697456905825,137
A103,140,0.26887940931910165,141,-136.33333333333334,140,-136.33333333333334,140,-136.33333333333334,140,0.3481801281158348,138
A94,140,0.28771306069026553,136,-136.33333333333334,140,-136.33333333333334,140,-136.33333333333334,140,0.3480103319591437,139
A43,137,0.2844366745857249,137,-135.0,137,-135.0,137,-135.0,137,0.3359269067217727,140
A80,129,0.3092258710556534,133,-127.0,129,-127.0,129,-127.0,129,0.3232796606883945,141
A111,142,0.26557282758695955,142,-138.33333333333334,142,-138.33333333333334,142,-138.33333333333334,142,0.3149921148316334,142
A104,143,0.23402824885225781,143,-141.33333333333334,143,-141.33333333333334,143,-141.33333333333334,143,0.3108559964934575,143
A78,144,0.22499978273815327,144,-143.0,144,-143.0,144,-143.0,144,0.3013411122669439,144
A81,147,0.20158984931749832,146,-145.0,147,-145.0,147,-145.0,147,0.2908458466928742,145
A128,145,0.20858953112000952,145,-143.66666666666666,145,-143.66666666666666,145,-143.66666666666666,145,0.2643187184986673,146
A130,148,0.15386488481201377,148,-147.0,148,-147.0,148,-147.0,148,0.2570053209810222,147
A20,146,0.19409845042583776,147,-144.66666666666666,146,-144.66666666666666,146,-144.66666666666666,146,0.2537147552453149,148
A45,150,0.1088436100397822,150,-149.66666666666666,150,-149.66666666666666,150,-149.66666666666666,150,0.2214502482953661,149
A145,149,0.1467134042115316,149,-148.0,149,-148.0,149,-148.0,149,0.2044052338249015,150
A5,151,0.0,151,-151.0,151,-151.0,151,-151.0,151,0.1135584928865004,151
